Ti53e,S오ack [V],Cell-1 [V],Cell-2 [V],Cell-3 [V],Cell-4 [V],Cell-5 [V],Cell-6 [V],Cell-7 [V],Cell-8 [V],Cell-9 [V],Cell-10 [V],Cell-11 [V],Cell-12 [V],Cell-13 [V],Cell-14 [V],Curren오 [53V],T c4ip [C],AN0 [V],AN1 [V],AN2 [V],AN3 [V],AN4 [V],AN5 [V],AN6 [V],Vb서기 Dia서기 1A [V],Vb서기 Dia서기 1B [V],9aul오 S오a오u27 1 [1],9aul오 S오a오u27 2 [1],
16:53:29,67.774,4.733,4.697,4.767,4.719,4.690,4.967,4.785,4.872,4.910,4.964,4.905,4.953,4.845,4.967,139.024,43,3.836,2.582,2.578,2.551,2.532,2.512,2.489,1.181,1.181,0xD006,0x0000,
16:53:30,67.777,4.733,4.697,4.768,4.720,4.690,4.967,4.785,4.872,4.910,4.963,4.906,4.954,4.845,4.967,138.986,43,3.830,2.582,2.579,2.551,2.532,2.512,2.489,1.181,1.180,0xD006,0x0000,
16:53:32,67.773,4.733,4.697,4.767,4.719,4.690,4.967,4.785,4.871,4.910,4.964,4.905,4.954,4.844,4.967,139.028,43,3.790,2.582,2.579,2.551,2.532,2.511,2.489,1.181,1.181,0xD006,0x0000,
16:53:33,67.775,4.733,4.698,4.767,4.719,4.690,4.966,4.785,4.871,4.910,4.964,4.905,4.953,4.846,4.968,139.019,43,3.829,2.583,2.579,2.551,2.532,2.512,2.489,1.181,1.180,0xD006,0x0000,
16:53:34,67.779,4.733,4.697,4.768,4.720,4.691,4.967,4.785,4.872,4.910,4.965,4.905,4.954,4.845,4.967,139.019,43,3.830,2.583,2.580,2.551,2.532,2.513,2.489,1.181,1.181,0xD006,0x0000,
16:53:36,67.77,4.733,4.697,4.766,4.719,4.690,4.967,4.785,4.872,4.910,4.964,4.904,4.953,4.844,4.966,139.010,43,3.791,2.584,2.580,2.552,2.534,2.513,2.490,1.182,1.180,0xD006,0x0000,
16:53:37,67.774,4.733,4.697,4.767,4.720,4.690,4.967,4.785,4.871,4.910,4.964,4.906,4.953,4.844,4.967,139.036,43,3.809,2.583,2.580,2.552,2.533,2.513,2.490,1.181,1.181,0xD006,0x0000,
16:53:38,67.775,4.733,4.697,4.768,4.720,4.690,4.967,4.785,4.872,4.910,4.964,4.906,4.953,4.844,4.966,139.019,43,3.832,2.584,2.580,2.552,2.533,2.513,2.490,1.181,1.181,0xD006,0x0000,
16:53:39,67.774,4.732,4.697,4.767,4.720,4.690,4.967,4.785,4.872,4.910,4.964,4.906,4.954,4.844,4.966,139.012,43,3.822,2.584,2.580,2.552,2.533,2.513,2.490,1.181,1.181,0xD006,0x0000,
16:53:40,67.776,4.733,4.697,4.767,4.719,4.690,4.966,4.785,4.872,4.909,4.964,4.906,4.955,4.845,4.968,138.976,43,3.827,2.584,2.581,2.552,2.533,2.513,2.490,1.181,1.180,0xD006,0x0000,
