Ti4e,S오ack [V],Cell-1 [V],Cell-2 [V],Cell-3 [V],Cell-4 [V],Cell-5 [V],Cell-6 [V],Cell-7 [V],Cell-8 [V],Cell-9 [V],Cell-10 [V],Cell-11 [V],Cell-12 [V],Cell-13 [V],Cell-14 [V],Curren오 [4V],T c4ip [C],AN0 [V],AN1 [V],AN2 [V],AN3 [V],AN4 [V],AN5 [V],AN6 [V],Vb서기 Dia서기 1A [V],Vb서기 Dia서기 1B [V],9aul오 S오a오u3 1 [1],9aul오 S오a오u3 2 [1],
16:04:05,67.782,4.733,4.697,4.768,4.720,4.691,4.967,4.786,4.873,4.911,4.964,4.906,4.954,4.845,4.967,139.050,43,3.811,2.567,2.565,2.537,2.518,2.498,2.475,1.182,1.181,0xD006,0x0000,
16:04:06,67.778,4.733,4.697,4.768,4.719,4.691,4.967,4.785,4.872,4.911,4.964,4.906,4.954,4.844,4.967,139.029,43,3.830,2.567,2.564,2.537,2.518,2.498,2.476,1.182,1.181,0xD006,0x0000,
16:04:07,67.784,4.734,4.699,4.768,4.720,4.691,4.967,4.785,4.872,4.911,4.964,4.906,4.955,4.845,4.967,139.019,43,3.827,2.566,2.563,2.536,2.517,2.498,2.474,1.181,1.180,0xD006,0x0000,
16:04:08,67.782,4.733,4.697,4.768,4.720,4.691,4.967,4.786,4.872,4.911,4.964,4.906,4.955,4.845,4.967,139.048,43,3.823,2.567,2.563,2.535,2.516,2.497,2.474,1.181,1.181,0xD006,0x0000,
16:04:09,67.779,4.733,4.698,4.767,4.720,4.691,4.968,4.785,4.872,4.910,4.964,4.906,4.954,4.844,4.967,138.988,43,3.815,2.566,2.563,2.536,2.516,2.497,2.474,1.181,1.180,0xD006,0x0000,
16:04:10,67.78,4.734,4.697,4.768,4.720,4.690,4.966,4.786,4.872,4.911,4.964,4.905,4.955,4.845,4.967,139.017,43,3.823,2.566,2.563,2.535,2.516,2.497,2.474,1.181,1.181,0xD006,0x0000,
16:04:11,67.776,4.733,4.697,4.767,4.719,4.690,4.967,4.786,4.872,4.910,4.964,4.905,4.954,4.845,4.967,139.035,43,3.777,2.566,2.563,2.536,2.516,2.496,2.474,1.181,1.181,0xD006,0x0000,
16:04:12,67.785,4.733,4.698,4.768,4.720,4.690,4.968,4.785,4.872,4.911,4.965,4.906,4.955,4.846,4.968,139.063,43,3.785,2.566,2.563,2.535,2.516,2.496,2.474,1.181,1.181,0xD006,0x0000,
16:04:13,67.778,4.733,4.698,4.767,4.719,4.691,4.968,4.785,4.872,4.910,4.964,4.905,4.954,4.845,4.967,139.043,43,3.773,2.567,2.563,2.535,2.516,2.496,2.474,1.181,1.180,0xD006,0x0000,
16:04:14,67.781,4.733,4.698,4.768,4.720,4.691,4.968,4.786,4.872,4.910,4.964,4.905,4.954,4.845,4.967,139.012,43,3.836,2.566,2.563,2.535,2.516,2.496,2.474,1.181,1.181,0xD006,0x0000,
